Geo Type,Geo ID,Population,Asthma,Historic Redlining Score,Toxic Releases to Air,Extreme Income Disparities,Pneumonia,Asthma_2,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status
tract,26163517500,2691,14.80%,4,84,0.6,1200,800,84,93,85
tract,26049003400,2316,19.30%,4,37,0.8,,,93,86,92
tract,26049001800,2175,17.50%,,24,0.7,,,86,82,89
tract,26163522000,1936,17.20%,4,86,0.6,1200,700,92,93,96
tract,26163500900,3550,17.10%,1,85,0.3,200,100,95,47,98
tract,26163553300,1108,17.10%,3.4,82,0.7,200,100,96,93,95
tract,26163553400,2598,17.10%,4,82,0.7,300,200,96,93,95
tract,26163508000,1273,17.00%,3,83,0.8,800,200,98,35,84
tract,26021002200,3088,16.90%,,6,0.6,,,98,79,97
tract,26163530400,1045,16.90%,3,84,0.6,800,400,88,46,96
tract,26049013600,1582,16.80%,4,30,0.6,,,96,85,89
tract,26163501000,3094,16.80%,1,85,0.3,200,100,88,95,99
tract,26163507000,2956,16.60%,3.5,86,0.3,400,800,81,75,96
tract,26163536100,3400,16.50%,2.9,81,0.3,900,900,90,85,94
tract,26145000200,1458,16.40%,3.4,55,0.6,,,91,45,98
tract,26065004491,1225,16.40%,,43,,,,,,43
tract,26163504400,1567,16.40%,2.1,85,0.4,500,700,84,58,99
tract,26163535200,2048,16.40%,3,82,0.5,1200,2300,95,73,100
tract,26163504200,1926,16.30%,2,85,0.5,400,300,97,74,98
tract,26163518900,1855,16.30%,4,85,0.3,2900,1500,94,61,97
tract,26163537700,3083,16.30%,2,78,0.4,1400,1800,83,24,99
tract,26163542300,1989,16.30%,2,77,0.5,700,500,94,24,93
tract,26125142300,2307,16.20%,3.8,64,0.6,0,0,98,52,89
tract,26163506300,1792,16.20%,3.7,90,0.4,400,600,96,20,96
tract,26163514500,943,16.20%,3,84,0.4,1200,2700,91,31,92
tract,26145001100,2569,16.10%,3.6,44,0.5,,,93,78,88
tract,26163522300,1266,16.10%,4,85,0.8,700,700,94,63,99
tract,26021000500,1704,16.00%,,6,0.4,,,99,34,98
tract,26163534600,1834,16.00%,2.9,87,0.5,500,2100,88,25,96
tract,26163543500,944,16.00%,1.6,73,0.5,800,800,76,44,92
tract,26163545200,2515,16.00%,3,79,0.5,900,900,92,72,98
tract,26163534500,683,16.00%,3,87,0.5,100,200,88,25,96
tract,26163501200,1648,15.90%,1.1,84,0.4,200,200,97,42,99
tract,26163543700,2620,15.90%,3.2,75,0.4,800,700,87,63,98
tract,26021002100,2111,15.90%,,7,0.4,,,99,99,80
tract,26049001700,1163,15.90%,4,24,0.4,,,85,34,98
tract,26145000900,3583,15.90%,3,47,0.5,,,90,67,93
tract,26163500400,1052,15.90%,2,89,0.5,100,200,98,88,97
tract,26161400200,6143,15.90%,,53,0.7,,,60,37,51
tract,26163503300,3508,15.90%,2,94,0.2,200,300,95,35,98
tract,26163512600,1179,15.90%,3,80,0.5,200,200,94,86,95
tract,26163512900,1228,15.90%,3,80,0.5,100,100,94,86,95
tract,26163514300,2550,15.90%,3,84,0.5,600,500,96,93,95
tract,26145011000,5602,15.80%,3,48,0.1,,,83,58,98
tract,26163541200,2274,15.80%,3.3,72,0.5,300,500,97,53,96
tract,26021000400,2529,15.80%,,6,0.5,,,95,96,91
tract,26163507400,2160,15.80%,3,83,0.2,800,1200,88,93,98
tract,26163508100,1252,15.80%,3,83,0.3,600,500,96,61,98
tract,26163541100,2359,15.80%,3,72,0.3,1300,2000,86,45,97
tract,26163531300,1044,15.70%,3,83,0.5,300,400,91,53,97
tract,26163500800,3179,15.70%,,84,0.3,0,300,93,7,94
tract,26163540500,3356,15.70%,,74,0.3,1000,1900,85,13,98
tract,26163540700,3536,15.70%,,73,0.2,600,600,95,53,92
tract,26163542100,4104,15.70%,1.3,75,0.3,800,1500,95,59,97
tract,26163570400,5253,15.70%,3,75,0.3,100,0,98,98,84
tract,26163579300,2396,15.70%,4,95,0.4,100,100,98,31,100
tract,26163535100,1737,15.70%,3,83,0.3,2200,2500,96,47,99
tract,26121004300,1948,15.60%,4,90,0.3,,,87,76,91
tract,26163504900,3486,15.60%,3,92,0.1,200,600,97,40,98
tract,26163512300,1405,15.60%,3,81,0.4,200,100,93,90,98
tract,26163540400,2883,15.60%,3.9,75,0.5,700,2000,84,64,99
tract,26163545400,1863,15.60%,,80,0.4,100,200,96,86,94
tract,26077000300,4271,15.60%,3,77,0.4,,,84,60,91
tract,26163522400,972,15.60%,3.9,85,0.1,200,900,82,88,84
tract,26163505000,795,15.60%,3,92,0.1,100,100,97,40,98
tract,26163511200,1204,15.60%,4,86,0.4,1200,1500,97,46,89
tract,26163512400,1097,15.60%,3,81,0.4,100,200,93,90,98
tract,26163537800,1446,15.60%,3,79,0.6,1300,1000,82,19,98
tract,26163545300,2078,15.60%,3,80,0.4,300,700,96,86,94
tract,26163545500,4002,15.60%,3.3,81,0.4,200,300,89,91,86
tract,26163579500,1751,15.60%,3.1,97,0.4,,,,,
tract,26163533400,2171,15.60%,3,85,0.5,1400,900,94,15,100
tract,26163507500,1869,15.50%,3,83,0.3,1100,700,88,85,97
tract,26163535400,1435,15.50%,3,82,0.4,300,300,95,44,97
tract,26163536800,1803,15.50%,2,80,0.4,900,1500,93,18,99
tract,26163546600,2027,15.50%,,77,0.3,300,1000,83,18,94
tract,26163570600,2273,15.50%,4,74,0.2,0,100,82,84,95
tract,26163530300,1312,15.50%,3.2,83,0.4,500,500,94,46,95
tract,26163503900,2071,15.50%,2,87,0.1,500,800,88,72,94
tract,26163546800,3925,15.50%,4,77,0.3,500,400,86,74,98
tract,26163546900,1061,15.50%,4,77,0.3,300,100,86,74,98
tract,26163551600,3592,15.50%,,85,0.1,100,100,89,42,88
tract,26163535500,3400,15.50%,3,82,0.4,200,800,95,44,97
tract,26163537200,592,15.50%,3,81,0.4,,,100,4,99
tract,26121001300,2306,15.40%,3.8,88,0.4,,,84,76,88
tract,26163535700,1122,15.40%,3,85,0.3,1300,1200,88,27,98
tract,26163545900,4000,15.40%,3,79,0.4,300,300,90,88,87
tract,26021000300,1958,15.40%,,6,0.3,,,95,73,93
tract,26099268300,2626,15.40%,,98,0.4,100,100,96,17,52
tract,26163522200,390,15.40%,4,87,0.5,200,100,99,92,95
tract,26163527200,649,15.40%,4,87,0.5,300,200,99,92,95
tract,26163527300,1014,15.40%,4,87,0.5,100,300,99,92,95
tract,26163530800,1531,15.40%,3,85,0.5,500,500,89,57,95
tract,26163541400,2893,15.40%,3,71,0.2,300,400,81,98,92
tract,26163544100,2479,15.40%,4,73,0.3,100,600,85,46,92
tract,26163546100,3579,15.40%,,78,0.2,300,400,86,20,93
tract,26163570800,2971,15.40%,4,75,0.3,0,100,90,49,91
tract,26163537000,3399,15.40%,2,79,0.4,1100,2400,84,85,98
tract,26163500700,4608,15.30%,,86,0.3,100,100,95,55,96
tract,26163506400,2015,15.30%,4,86,0.5,1000,1000,86,60,88
tract,26163531700,1553,15.30%,3.4,83,0.6,1300,2100,99,54,96
tract,26163536400,2274,15.30%,3,82,0.2,900,1800,90,40,98
tract,26163543900,782,15.30%,4,75,0.5,800,2100,89,80,95
tract,26145000100,718,15.30%,3.7,60,0.6,,,89,75,93
tract,26163501100,2886,15.30%,1.3,85,0.4,400,200,95,61,100
tract,26163504100,1357,15.30%,2,85,0.3,200,0,98,36,100
tract,26163506500,2141,15.30%,3.3,88,0.3,1000,700,97,20,92
tract,26163512100,2707,15.30%,2,83,0.3,100,200,95,44,99
tract,26163512200,1061,15.30%,3,83,0.3,300,100,95,44,99
tract,26163514200,2267,15.30%,3,85,0.3,1100,1500,93,38,91
tract,26163546000,3086,15.30%,,78,0.4,800,700,86,58,92
tract,26163570200,2613,15.30%,3,75,0.2,100,0,98,61,84
tract,26163536300,2745,15.30%,2.5,82,0.1,1300,1700,91,39,99
tract,26163536600,2483,15.30%,2.8,82,0.4,1300,1700,91,35,99
tract,26163537100,2275,15.30%,2.3,80,0.4,1600,1900,88,66,97
tract,26049002300,1809,15.20%,3,30,0.4,,,96,54,56
tract,26049003200,1912,15.20%,3.9,41,0.3,,,93,47,99
tract,26163522500,1772,15.20%,4,85,0.6,1400,2200,96,100,84
tract,26081003600,2554,15.20%,3.1,58,0.4,,,98,89,89
tract,26163502000,2076,15.20%,2.6,81,0.2,200,200,88,57,97
tract,26163545100,773,15.20%,3,79,0.5,,,98,12,98
tract,26163545800,5325,15.20%,3.6,79,0.3,200,200,94,61,81
tract,26163534200,3398,15.20%,2.8,83,0.3,1000,1100,90,60,97
tract,26163536900,3235,15.20%,2,78,0.3,1300,2900,93,70,99
tract,26163537300,1727,15.20%,3,79,0.1,1500,1100,86,10,99
tract,26065004100,5535,15.10%,1.7,44,0.4,,,73,92,25
tract,26163514100,2585,15.10%,3.1,84,0.4,600,900,96,87,94
tract,26163533100,1427,15.10%,3,84,0.3,400,400,92,75,95
tract,26125142200,2764,15.10%,2.7,63,0.5,0,0,99,87,89
tract,26163506600,3423,15.10%,3.1,88,0.1,500,1100,81,25,97
tract,26163507100,2082,15.10%,4,84,0.5,800,1200,89,44,99
tract,26163516600,2534,15.10%,4,85,0.3,1500,2000,81,61,97
tract,26163540800,2440,15.10%,,72,0.1,300,1000,76,11,99
tract,26163543200,2848,15.10%,1.6,73,0.2,400,800,85,23,99
tract,26163553000,1006,15.10%,4,82,0.4,300,600,96,87,95
tract,26163534400,1718,15.10%,3,85,0.6,600,600,93,36,93
tract,26021000600,3261,15.00%,,7,0.4,,,90,17,91
tract,26049000300,2272,15.00%,,24,0.2,,,74,56,95
tract,26049002000,828,15.00%,4,25,0.5,,,82,47,95
tract,26163521300,889,15.00%,4,88,0.4,300,1500,74,46,92
tract,26025003600,2070,15.00%,,77,0.5,,,92,60,79
tract,26049000500,1962,15.00%,3,25,0.4,,,88,10,94
tract,26049001500,1291,15.00%,3.1,35,0.4,,,86,94,79
tract,26163521500,1514,15.00%,4,87,0.3,800,1100,89,63,80
tract,26163521800,1625,15.00%,3.3,85,0.5,500,700,86,50,97
tract,26163522100,662,15.00%,4,88,0.4,400,700,74,46,92
tract,26163501900,2872,15.00%,2,81,0.2,200,400,91,42,93
tract,26163540200,3345,15.00%,2,75,0.3,1400,2300,95,12,100
tract,26163537600,3655,15.00%,2.9,77,0.2,1300,800,81,57,97
tract,26163544200,1781,15.00%,3.7,73,0.4,600,600,88,47,87
tract,26163533600,1674,15.00%,3,87,0.4,500,500,94,35,96
tract,26163534700,3423,15.00%,2.5,87,0.1,500,1000,93,33,95
tract,26163535300,4195,15.00%,3,81,0.2,900,1400,78,47,99
tract,26049000700,2080,14.90%,3,26,0.2,,,90,27,98
tract,26081002800,1632,14.90%,3.9,58,0.6,,,91,99,85
tract,26163532400,1412,14.90%,3,84,0.3,200,500,64,86,87
tract,26163541700,2501,14.90%,,70,0.4,400,100,93,53,98
tract,26163543600,1084,14.90%,4,74,0.3,500,800,89,38,93
tract,26163543800,777,14.90%,4,74,0.3,500,500,89,38,93
tract,26075000600,1001,14.90%,2.8,38,0.7,,,96,76,56
tract,26075001000,2313,14.90%,2,40,0.3,,,98,58,75
tract,26025000300,2017,14.90%,3.2,88,0.4,,,95,68,72
tract,26049010304,3636,14.90%,4,23,0.3,,,92,43,82
tract,26049010812,3250,14.90%,4,27,0.4,,,87,100,70
tract,26121001402,3807,14.90%,3.8,92,0.2,,,93,78,86
tract,26163503200,2453,14.90%,,95,0.2,300,400,96,14,90
tract,26163503500,2784,14.90%,2.2,92,0.2,300,500,36,49,99
tract,26163506900,3571,14.90%,3,85,0.3,800,1100,98,52,97
tract,26163510700,2006,14.90%,4,86,0.3,400,200,93,86,69
tract,26163511000,1562,14.90%,3.6,86,0.3,600,500,93,86,69
tract,26163513600,1379,14.90%,3.2,84,0.4,400,200,93,99,92
tract,26163515600,1456,14.90%,3.4,84,0.4,100,200,93,99,92
tract,26163516700,3194,14.90%,4,87,0.2,800,400,86,53,99
tract,26163540300,3524,14.90%,2,75,0.2,900,1800,74,26,98
tract,26163541800,2373,14.90%,3.4,69,0.2,300,200,88,51,82
tract,26163573500,4455,14.90%,4,97,0.2,0,0,97,92,33
tract,26163533200,827,14.90%,3,85,0.3,900,400,99,68,93
tract,26163513200,1668,14.80%,3,77,0.2,100,800,81,86,87
tract,26163546400,935,14.80%,4,76,0.3,200,600,94,37,96
tract,26163570900,1902,14.80%,4,76,0.3,0,100,82,47,95
tract,26049000400,1324,14.80%,3,24,0.4,,,86,4,93
tract,26077000202,846,14.80%,,76,0.4,,,91,81,95
tract,26163530100,2171,14.80%,3.5,82,0.5,800,1000,83,95,92
tract,26163531500,2715,14.80%,3,84,0.5,500,1000,74,58,97
tract,26163501500,4516,14.80%,3,82,0.2,100,300,81,34,94
tract,26163501600,2149,14.80%,3,80,0.4,200,100,94,94,92
tract,26163546500,2414,14.80%,4,76,0.3,300,200,94,37,96
tract,26163571000,1915,14.80%,4,76,0.3,0,100,89,60,94
tract,26163536500,2338,14.80%,3,84,0.4,600,900,78,14,93
tract,26049000100,2427,14.70%,,23,0.3,,,91,24,95
tract,26163503100,3096,14.70%,3,94,0.1,100,200,93,77,97
tract,26163515300,3172,14.70%,3.5,87,0.4,1200,400,83,93,85
tract,26163543400,3577,14.70%,1.7,74,0.1,400,800,83,47,98
tract,26049001900,3029,14.70%,,25,0.3,,,95,78,70
tract,26049010305,4478,14.70%,,23,0.2,,,91,50,82
tract,26163526500,1821,14.70%,3.2,89,0.4,200,1500,89,44,98
tract,26163505100,3736,14.70%,3,93,0.4,200,700,97,84,94
tract,26163506800,3890,14.70%,,85,0.2,400,900,82,28,98
tract,26163507800,456,14.70%,4,82,0.1,100,500,83,52,90
tract,26163507900,1102,14.70%,3,82,0.1,500,1400,83,52,90
tract,26163539200,5542,14.70%,,76,0.2,500,500,73,88,96
tract,26163540100,2938,14.70%,,74,0.4,500,400,76,26,96
tract,26163545700,3399,14.70%,3.8,80,0.4,0,0,94,25,79
tract,26163552800,4955,14.70%,3.9,88,0.2,600,300,92,82,49
tract,26049001300,2529,14.60%,2.6,31,0.3,,,85,32,86
tract,26121000300,2747,14.60%,3.2,85,0.4,,,90,95,83
tract,26163500200,2834,14.60%,3,92,0.1,100,400,81,13,97
tract,26163530900,1626,14.60%,3,85,0.4,500,400,65,82,91
tract,26163568500,3734,14.60%,,76,0.2,100,100,88,80,64
tract,26075001100,1989,14.60%,3.2,39,0.6,,,92,63,80
tract,26049000800,981,14.60%,2.9,26,0.4,,,87,32,99
tract,26049001100,1775,14.60%,2.5,28,0.5,,,85,39,97
tract,26161410600,2598,14.60%,,64,0.4,,,99,84,84
tract,26163526000,3122,14.60%,3.8,93,0.3,0,0,94,85,69
tract,26163531600,1855,14.60%,3,83,0.3,500,700,66,82,98
tract,26163531800,1281,14.60%,3,83,0.2,600,900,94,54,100
tract,26163531900,904,14.60%,3,83,0.2,300,400,85,69,90
tract,26163501300,3011,14.60%,2,83,0,300,300,86,61,97
tract,26163505200,2961,14.60%,3,88,0.3,600,500,80,73,96
tract,26163506200,1974,14.60%,3.4,91,0.1,200,300,86,24,98
tract,26163506700,1066,14.60%,3,90,0.2,500,200,82,74,99
tract,26163515200,1951,14.60%,3,89,0.5,2800,1400,88,35,86
tract,26163515900,1340,14.60%,3.5,85,0.4,1100,1100,86,34,92
tract,26163516100,576,14.60%,3.6,85,0.4,800,800,86,34,92
tract,26163520400,1941,14.60%,4,85,0.5,2500,1400,97,86,86
tract,26163539700,1994,14.60%,2,75,0.3,600,600,86,47,99
tract,26163542600,3731,14.60%,2,78,0.2,600,1300,89,52,100
tract,26163534300,1477,14.60%,3,84,0.1,500,1100,97,52,99
tract,26163536700,956,14.60%,2.9,81,0.2,1100,2800,78,35,99
tract,26077000100,2717,14.50%,3,77,0.1,,,83,81,79
tract,26145000800,2867,14.50%,3,49,0.5,,,82,76,97
tract,26065004492,3474,14.50%,2.6,45,,,,,,38
tract,26125141200,3136,14.50%,,61,0.6,0,0,96,74,84
tract,26125141500,6378,14.50%,3.9,63,0.2,0,0,97,69,90
tract,26163524900,1179,14.50%,4,94,0.7,200,100,100,85,79
tract,26163525000,632,14.50%,4,94,0.7,100,100,100,85,79
tract,26125172500,2411,14.50%,4,77,0.2,100,200,82,25,97
tract,26163500100,3369,14.50%,3,89,0.2,200,100,94,39,96
tract,26163505400,2412,14.50%,2.5,89,0.2,500,500,96,90,97
tract,26163518600,373,14.50%,3.7,86,0.2,1400,200,71,58,89
tract,26163518800,565,14.50%,4,86,0.2,1600,1800,71,58,89
tract,26163570500,3282,14.50%,3,75,0.2,0,100,84,96,84
tract,26163501700,1888,14.50%,3,80,0.3,100,1300,95,94,81
tract,26163506100,2014,14.40%,3.2,92,0.2,500,400,80,7,94
tract,26139024500,10837,14.40%,,54,0.4,,,72,28,30
tract,26163530200,4298,14.40%,3,82,0.2,500,700,81,86,90
tract,26121001200,2687,14.40%,3.4,91,0.2,,,81,74,85
tract,26161411200,2591,14.40%,,64,0.3,,,84,50,80
tract,26163531100,951,14.40%,3,84,0.6,200,600,94,89,93
tract,26163500300,1900,14.40%,3,91,0.1,400,1900,86,30,95
tract,26163500500,1289,14.40%,2,87,0.1,300,400,83,56,94
tract,26163500600,2891,14.40%,2.7,89,0.1,100,200,87,25,99
tract,26163503600,1431,14.40%,2.7,91,0.2,400,600,92,59,97
tract,26163513900,1879,14.40%,3.1,83,0.1,800,1400,91,33,95
tract,26163516200,645,14.40%,3.5,94,0.3,400,1600,93,73,83
tract,26163516300,720,14.40%,3.6,94,0.3,2100,2800,93,73,83
tract,26163541000,4176,14.40%,,71,0.3,300,900,93,38,99
tract,26163546300,1998,14.40%,,0,0.1,,,,,
tract,26163579200,3536,14.40%,3,95,0.4,0,0,94,64,69
tract,26025000500,3511,14.30%,3.1,86,0.1,,,87,86,45
tract,26025001000,4082,14.30%,,88,0.3,,,93,75,75
tract,26163511300,2514,14.30%,3.1,86,0.4,800,600,91,31,65
tract,26163525400,2369,14.30%,4,90,0.3,400,200,80,80,91
tract,26163537500,3064,14.30%,2,78,0.2,1000,1600,84,52,95
tract,26163542400,2763,14.30%,2,78,0.2,800,700,84,6,99
tract,26145001900,1904,14.30%,3,50,0.2,,,96,25,63
tract,26163504000,1241,14.30%,2,87,0.2,200,500,87,19,97
tract,26163540600,3370,14.30%,2,73,-0.1,700,900,71,20,99
tract,26163532700,614,14.30%,3.9,84,0.4,,,77,59,93
tract,26163535600,4363,14.30%,2,86,0.2,300,300,81,63,95
tract,26077001507,6418,14.20%,,67,0.4,,,88,86,52
tract,26163516800,948,14.20%,4,89,0.1,1200,1600,92,87,88
tract,26163579800,1880,14.20%,3.4,97,0.3,100,100,92,82,72
tract,26049000900,2557,14.20%,2.4,28,0.5,,,88,23,94
tract,26049001000,1796,14.20%,2,28,0.4,,,86,15,98
tract,26065000700,2763,14.20%,2.4,53,0.2,,,93,83,77
tract,26161411100,2831,14.20%,,64,0.5,,,67,92,54
tract,26163531400,1206,14.20%,3,84,0.3,600,800,87,65,99
tract,26163504300,2067,14.20%,2,85,0.2,400,300,80,85,96
tract,26163504700,1714,14.20%,3.7,86,0.3,600,800,86,84,93
tract,26163504800,591,14.20%,3.6,86,0.3,200,100,86,84,93
tract,26163505500,1162,14.20%,3.8,86,0.3,500,200,86,84,93
tract,26163539000,2778,14.20%,3.6,79,0.4,700,1100,87,43,97
tract,26163546700,2705,14.20%,,78,0.3,400,1100,90,36,95
tract,26163536200,2315,14.20%,2,80,0.3,900,2100,68,4,94
tract,26163533500,1195,14.10%,3,87,0.3,300,500,94,66,93
tract,26163542800,2800,14.10%,2,76,-0.1,200,200,56,31,96
tract,26163579100,1570,14.10%,3.5,95,0.3,0,0,66,20,58
tract,26145001200,3192,14.10%,3.3,46,0.3,,,89,67,67
tract,26077001504,4683,14.10%,,72,0.5,,,85,74,50
tract,26081003200,5392,14.10%,3.2,55,0.1,,,94,27,80
tract,26163530500,1815,14.10%,3,84,0.3,500,1300,89,54,96
tract,26163511900,1369,14.10%,4,85,0.5,800,800,83,63,81
tract,26163538800,1657,14.10%,2,78,0,700,1100,84,9,99
tract,26163538900,3419,14.10%,,79,-0.1,900,1400,76,14,99
tract,26163542200,3244,14.10%,1,76,0.3,800,1200,83,63,100
tract,26163542700,939,14.10%,2,76,-0.1,200,100,56,31,96
tract,26163544000,2634,14.10%,4,74,0.2,200,100,78,78,95
tract,26163545600,5503,14.10%,3.1,82,0.3,100,0,98,59,55
tract,26163553100,1665,14.10%,3,82,0.2,700,600,68,72,85
tract,26163573300,4229,14.10%,3,87,0,0,0,89,60,15
tract,26163584800,6098,14.10%,,75,0.1,100,100,63,99,77
tract,26163538700,4522,14.10%,2,79,0.2,1100,800,81,39,93
tract,26163533700,899,14.10%,3,87,0.3,400,400,94,66,93
tract,26065004490,3937,14.00%,,46,,,,,,42
tract,26065004493,1720,14.00%,2,43,0.6,,,,,51
tract,26049000200,1315,14.00%,3,23,0.3,,,84,54,98
tract,26049012202,1048,14.00%,4,25,0.3,,,80,18,77
tract,26049980100,0,14.00%,4,0,0.6,,,,,
tract,26075006900,2952,14.00%,3.6,37,0.4,,,92,26,50
tract,26163534100,1590,14.00%,3,85,0.3,700,900,90,62,98
tract,26049012310,2881,14.00%,,22,0.2,,,90,63,59
tract,26049002200,1924,14.00%,3.1,29,0.6,,,98,46,53
tract,26049010811,2580,14.00%,,25,0.2,,,87,74,79
tract,26049011301,4912,14.00%,4,54,0.4,,,90,72,39
tract,26049013500,5344,14.00%,3,69,0.4,,,85,62,77
tract,26145000700,1829,14.00%,3,49,0.2,,,91,81,90
tract,26145001000,3692,14.00%,3,46,0.3,,,84,54,94
