Geo Type,Geo ID,Population,Chronic Obstructive Pulmonary Disease,Historic Redlining Score,Toxic Releases to Air,Extreme Income Disparities,Pneumonia,Chronic Obstructive Pulmonary Disease_2,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status
tract,26163517500,2691,18.20%,4,84,0.6,1200,3300,84,93,85
tract,26163553300,1108,20.40%,3.4,82,0.7,200,400,96,93,95
tract,26163553400,2598,20.40%,4,82,0.7,300,200,96,93,95
tract,26075000600,1001,19.80%,2.8,38,0.7,,,96,76,56
tract,26163514300,2550,19.70%,3,84,0.5,600,400,96,93,95
tract,26163515200,1951,19.20%,3,89,0.5,2800,2400,88,35,86
tract,26085961200,2660,18.90%,,10,0.2,,,76,85,43
tract,26021002100,2111,18.80%,,7,0.4,,,99,99,80
tract,26163522300,1266,18.60%,4,85,0.8,700,1800,94,63,99
tract,26049002300,1809,18.50%,3,30,0.4,,,96,54,56
tract,26163522500,1772,18.20%,4,85,0.6,1400,4400,96,100,84
tract,26049002000,828,18.10%,4,25,0.5,,,82,47,95
tract,26163508000,1273,17.90%,3,83,0.8,800,500,98,35,84
tract,26069000100,2519,17.70%,,13,0.3,,,93,19,17
tract,26125142300,2307,17.70%,3.8,64,0.6,0,0,98,52,89
tract,26049013600,1582,17.60%,4,30,0.6,,,96,85,89
tract,26163579500,1751,17.40%,3.1,97,0.4,,,,,
tract,26021002200,3088,17.20%,,6,0.6,,,98,79,97
tract,26145011000,5602,17.10%,3,48,0.1,,,83,58,98
tract,26049003400,2316,17.00%,4,37,0.8,,,93,86,92
tract,26143970200,1706,17.00%,,29,0.2,,,78,37,16
tract,26145000200,1458,17.00%,3.4,55,0.6,,,91,45,98
tract,26163536100,3400,17.00%,2.9,81,0.3,900,900,90,85,94
tract,26163524900,1179,16.90%,4,94,0.7,200,0,100,85,79
tract,26163525000,632,16.90%,4,94,0.7,100,100,100,85,79
tract,26121004300,1948,16.60%,4,90,0.3,,,87,76,91
tract,26163500400,1052,16.60%,2,89,0.5,100,200,98,88,97
tract,26145000900,3583,16.50%,3,47,0.5,,,90,67,93
tract,26049980100,0,16.40%,4,0,0.6,,,,,
tract,26035000300,2411,16.40%,,22,0.1,,,65,24,18
tract,26049002200,1924,16.40%,3.1,29,0.6,,,98,46,53
tract,26163512600,1179,16.40%,3,80,0.5,200,200,94,86,95
tract,26163512900,1228,16.40%,3,80,0.5,100,200,94,86,95
tract,26163508100,1252,16.20%,3,83,0.3,600,900,96,61,98
tract,26163579300,2396,16.20%,4,95,0.4,100,0,98,31,100
tract,26163534600,1834,16.10%,2.9,87,0.5,500,600,88,25,96
tract,26163534500,683,16.10%,3,87,0.5,100,100,88,25,96
tract,26069000800,1680,15.90%,,24,0.1,,,67,40,0
tract,26147624000,1662,15.90%,,66,0.5,,,97,87,31
tract,26025003600,2070,15.90%,,77,0.5,,,92,60,79
tract,26129950900,3900,15.90%,,24,0.3,,,89,61,6
tract,26163522000,1936,15.90%,4,86,0.6,1200,1900,92,93,96
tract,26163506400,2015,15.80%,4,86,0.5,1000,900,86,60,88
tract,26163535200,2048,15.70%,3,82,0.5,1200,700,95,73,100
tract,26143971000,3859,15.60%,,17,0,,,68,59,14
tract,26163506300,1792,15.60%,3.7,90,0.4,400,900,96,20,96
tract,26035001300,3659,15.50%,,10,0.3,,,69,94,5
tract,26163512300,1405,15.50%,3,81,0.4,200,500,93,90,98
tract,26001970500,2019,15.50%,,21,0.2,,,69,53,11
tract,26021000300,1958,15.50%,,6,0.3,,,95,73,93
tract,26145000100,718,15.50%,3.7,60,0.6,,,89,75,93
tract,26163512400,1097,15.50%,3,81,0.4,100,100,93,90,98
tract,26163504200,1926,15.40%,2,85,0.5,400,200,97,74,98
tract,26163514200,2267,15.40%,3,85,0.3,1100,3300,93,38,91
tract,26163518900,1855,15.30%,4,85,0.3,2900,2900,94,61,97
tract,26119910100,2272,15.30%,,27,0.2,,,78,88,5
tract,26049010812,3250,15.20%,4,27,0.4,,,87,100,70
tract,26153000300,3173,15.20%,,1,0.2,,,75,80,27
