Geo Type,Geo ID,Population,Cancer,Historic Redlining Score,Hazardous Waste Proximity,Routine Checkup,Mammogram,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status,Household Characteristics
tract,26163517500,2691,6.1%,4.0,89,82.4%,80.6%,84,93,85,70
tract,26089970400,1538,16.3%,,0,85.8%,81.5%,17,80,16,32
tract,26001000100,1699,15.4%,,0,84.3%,78.1%,20,23,10,12
tract,26089970100,2016,15.4%,,0,84.8%,80.7%,5,25,6,19
tract,26147648000,1066,15.1%,,15,84.3%,77.3%,16,6,0,15
tract,26031960400,3615,14.8%,,0,84.3%,76.9%,40,17,25,23
tract,26125194500,1086,14.8%,,62,84.3%,76.8%,47,31,23,66
tract,26051000200,1337,14.7%,,0,83.6%,77.8%,45,25,4,35
tract,26141950100,1849,14.7%,,0,84.0%,76.7%,45,51,5,35
tract,26033971100,1526,14.6%,,0,84.0%,76.5%,58,18,7,28
tract,26019000400,1995,14.6%,,0,83.0%,75.3%,59,87,10,31
tract,26121001000,1085,14.6%,,53,84.2%,79.1%,31,5,1,41
tract,26141950600,1338,14.6%,,0,84.1%,78.2%,23,14,2,15
tract,26143970400,2064,14.6%,,0,83.4%,75.5%,32,19,12,61
tract,26143970600,2250,14.6%,,0,83.3%,77.6%,51,34,4,30
tract,26029000500,577,14.5%,,0,84.4%,79.5%,48,16,8,29
tract,26125157500,3117,14.5%,,46,84.5%,74.0%,60,85,50,94
tract,26019000300,1810,14.3%,,0,82.7%,76.8%,54,58,8,30
tract,26125136800,4462,14.3%,,58,83.8%,76.3%,36,98,60,97
tract,26143970500,962,14.2%,,0,83.3%,77.5%,21,12,4,49
tract,26081011804,5315,14.0%,,74,82.5%,76.6%,20,65,30,44
tract,26021011200,3091,14.0%,,0,83.5%,79.9%,9,33,13,23
tract,26163556500,2187,14.0%,,64,83.1%,78.7%,27,56,34,71
tract,26047970300,4260,13.9%,,15,83.3%,79.7%,42,29,18,35
tract,26161446200,2214,13.9%,,0,78.8%,78.7%,24,78,9,22
tract,26009960600,3212,13.8%,,0,82.5%,79.6%,15,38,7,15
