Geo Type,Geo ID,Population,Coronary Heart Disease,Historic Redlining Score,Toxic Releases to Air,Extreme Income Disparities,Hypertension,Myocardial Infarction,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status
tract,26163515200,1951,14.1%,3.0,89,0.5,62.0%,800.0,88,35,86
tract,26069000100,2519,14.0%,,13,0.3,48.1%,,93,19,17
tract,26085961200,2660,13.9%,,10,0.2,48.5%,,76,85,43
tract,26163553300,1108,13.8%,3.4,82,0.7,61.4%,0.0,96,93,95
tract,26163553400,2598,13.8%,4.0,82,0.7,61.4%,200.0,96,93,95
tract,26163514300,2550,13.7%,3.0,84,0.5,61.6%,200.0,96,93,95
tract,26001970500,2019,13.4%,,21,0.2,47.9%,,69,53,11
tract,26069000800,1680,13.1%,,24,0.1,47.6%,,67,40,0
tract,26163522500,1772,13.0%,4.0,85,0.6,58.2%,700.0,96,100,84
tract,26163517500,2691,12.9%,4.0,84,0.6,55.4%,400.0,84,93,85
tract,26035000300,2411,12.7%,,22,0.1,48.0%,,65,24,18
tract,26051000200,1337,12.7%,,16,0.0,49.2%,,45,25,4
tract,26119910100,2272,12.7%,,27,0.2,46.7%,,78,88,5
tract,26141950100,1849,12.7%,,0,-0.1,48.7%,,45,51,5
tract,26143970200,1706,12.6%,,29,0.2,47.0%,,78,37,16
tract,26049002000,828,12.5%,4.0,25,0.5,62.6%,,82,47,95
tract,26131970100,1750,12.5%,,1,0.1,47.7%,,50,61,8
tract,26031960400,3615,12.5%,,0,0.0,46.5%,,40,17,25
tract,26033970700,959,12.5%,,17,0.1,47.4%,,67,54,21
tract,26135970201,1458,12.5%,,44,0.0,46.3%,,69,44,7
tract,26085960100,2448,12.5%,,14,0.0,48.1%,,69,53,9
tract,26163516900,2052,12.5%,4.0,85,0.3,58.7%,400.0,82,50,93
tract,26163573400,3616,12.4%,3.0,87,0.1,45.5%,0.0,84,98,18
tract,26131970200,2451,12.4%,,0,0.1,45.8%,,54,76,7
tract,26131990100,0,12.4%,,0,0.1,45.8%,,50,61,8
tract,26151970700,1817,12.4%,,21,-0.1,47.4%,,45,26,1
tract,26119910400,2164,12.3%,,34,0.2,44.6%,,70,37,4
tract,26011990000,0,12.2%,,12,0.0,45.6%,,58,63,7
tract,26011970400,2761,12.2%,,12,0.0,45.6%,,58,63,7
tract,26029001500,2447,12.2%,,5,0.2,44.2%,,65,92,13
tract,26143970100,1873,12.2%,,30,0.1,45.7%,,63,49,8
tract,26143971000,3859,12.2%,,17,0.0,45.1%,,68,59,14
tract,26021002100,2111,12.1%,,7,0.4,49.7%,,99,99,80
tract,26129950100,2252,12.1%,,29,0.2,46.5%,,69,88,3
tract,26129950300,1636,12.1%,,29,0.0,46.0%,,55,21,5
tract,26131970300,1676,12.0%,,1,0.0,47.0%,,18,33,9
tract,26035000100,1793,12.0%,,13,0.0,44.6%,,75,49,10
tract,26143971100,2567,12.0%,,22,0.1,44.7%,,64,59,14
tract,26135970300,1622,12.0%,,26,0.2,45.9%,,83,87,11
tract,26033971100,1526,11.9%,,0,-0.1,47.6%,,58,18,7
tract,26145011000,5602,11.9%,3.0,48,0.1,53.1%,,83,58,98
tract,26035000200,1197,11.9%,,6,0.0,45.5%,,69,32,6
tract,26143970600,2250,11.9%,,24,-0.1,47.4%,,51,34,4
tract,26147648000,1066,11.9%,,43,-0.4,47.8%,,16,6,0
tract,26143971200,2849,11.8%,,20,0.3,46.7%,,67,94,8
tract,26069000900,1873,11.8%,,20,0.2,47.1%,,51,33,28
tract,26097950200,2439,11.8%,,12,0.0,44.2%,,75,46,37
tract,26163522300,1266,11.8%,4.0,85,0.8,60.1%,200.0,94,63,99
tract,26063950500,2082,11.7%,,25,0.0,46.0%,,34,26,3
tract,26119910300,1779,11.7%,,26,0.0,45.6%,,50,48,9
tract,26143970400,2064,11.7%,,25,-0.1,47.1%,,32,19,12
tract,26143970500,962,11.7%,,28,-0.1,45.3%,,21,12,4
tract,26129950900,3900,11.7%,,24,0.3,44.3%,,89,61,6
tract,26001970600,1351,11.6%,,5,0.1,45.1%,,50,50,6
tract,26071000200,1618,11.6%,,5,0.0,44.3%,,37,36,3
tract,26051000300,1808,11.6%,,26,0.0,46.9%,,61,42,15
tract,26119910200,1551,11.6%,,10,0.1,48.0%,,31,59,6
tract,26041970100,1709,11.5%,,11,0.0,45.3%,,57,41,32
tract,26063950100,1257,11.5%,,34,0.1,45.1%,,53,80,20
tract,26153000100,2463,11.5%,,14,0.0,43.6%,,75,50,26
tract,26159010300,2279,11.5%,,12,-0.2,44.7%,,31,76,27
tract,26075000600,1001,11.4%,2.8,38,0.7,48.4%,,96,76,56
tract,26001970100,2482,11.4%,,37,0.0,44.4%,,47,58,10
tract,26007000600,3050,11.4%,,71,0.1,41.3%,,48,83,6
tract,26153000300,3173,11.4%,,1,0.2,41.7%,,75,80,27
tract,26001000100,1699,11.3%,,43,-0.2,45.2%,,20,23,10
tract,26047970100,2079,11.3%,,1,0.0,43.4%,,76,85,27
tract,26141950600,1338,11.3%,,43,-0.2,46.2%,,23,14,2
tract,26125142300,2307,11.3%,3.8,64,0.6,51.7%,0.0,98,52,89
tract,26135970400,2051,11.3%,,42,0.1,42.2%,,75,84,8
tract,26141950300,2074,11.3%,,17,0.1,44.5%,,47,63,7
tract,26119910500,1499,11.2%,,41,0.0,44.0%,,76,39,9
tract,26007000100,4647,11.2%,,42,0.0,42.8%,,57,60,6
tract,26011970100,2222,11.2%,,15,0.0,44.2%,,54,49,9
tract,26019000300,1810,11.2%,,13,-0.2,43.9%,,54,58,8
tract,26125198100,2696,11.2%,,74,0.4,42.5%,0.0,52,58,61
tract,26135970500,1542,11.2%,,38,0.1,43.1%,,73,29,11
tract,26085961300,3087,11.2%,,7,0.1,44.7%,,81,52,15
tract,26145000200,1458,11.1%,3.4,55,0.6,53.3%,,91,45,98
tract,26147624000,1662,11.1%,,66,0.5,48.3%,,97,87,31
tract,26069000700,2558,11.1%,,22,0.1,43.2%,,87,57,5
tract,26069000300,2601,11.1%,,6,0.1,44.8%,,48,69,3
tract,26041970800,4258,11.1%,,46,0.2,42.9%,,60,99,7
tract,26053950100,2226,11.1%,,1,-0.1,45.7%,,24,60,32
tract,26053950400,955,11.1%,,1,-0.1,45.7%,,24,60,32
tract,26097950300,1681,11.1%,,18,-0.1,43.1%,,52,66,26
tract,26163524900,1179,11.1%,4.0,94,0.7,43.2%,100.0,100,85,79
tract,26163525000,632,11.1%,4.0,94,0.7,43.2%,100.0,100,85,79
tract,26163514200,2267,11.1%,3.0,85,0.3,54.6%,700.0,93,38,91
tract,26035001300,3659,11.0%,,10,0.3,42.2%,,69,94,5
tract,26163568000,2212,11.0%,,76,0.2,43.9%,0.0,59,57,31
tract,26039960500,2268,11.0%,,42,0.1,43.0%,,75,27,15
tract,26035000900,1899,11.0%,,8,0.3,43.9%,,88,84,8
tract,26051000100,2926,11.0%,,15,0.0,46.6%,,56,57,7
tract,26125194500,1086,11.0%,,64,0.1,43.2%,0.0,47,31,23
tract,26127011000,1639,11.0%,,12,0.0,42.5%,,60,50,32
tract,26103002300,2063,10.9%,,19,0.0,44.0%,,41,31,5
tract,26121004300,1948,10.9%,4.0,90,0.3,50.0%,,87,76,91
tract,26151970600,2087,10.9%,,16,0.1,45.5%,,35,61,6
tract,26163534600,1834,10.9%,2.9,87,0.5,54.5%,300.0,88,25,96
tract,26049002300,1809,10.9%,3.0,30,0.4,45.5%,,96,54,56
tract,26049002900,1809,10.9%,2.7,40,0.4,53.5%,,82,94,70
tract,26147631100,1765,10.9%,,31,-0.3,41.5%,,31,90,15
