Geo Type,Geo ID,Population,Life Expectancy,Historic Redlining Score,Toxic Releases to Air,Extreme Income Disparities,Routine Checkup,Systolic Blood Pressure,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status
tract,26163517500,2691,67.4,4.0,84,0.6,82.4%,132.0,84,93,85
tract,26081012300,3433,90.8,1.3,54,-0.7,79.1%,,0,21,13
tract,26071000500,2518,89.0,,27,0.0,81.3%,,54,74,9
tract,26161405300,5282,89.0,,55,-0.7,76.8%,,1,28,40
tract,26139023200,2521,88.2,,55,-0.4,79.9%,,9,46,1
tract,26161404300,2740,87.9,,48,-0.6,76.1%,,5,14,31
tract,26081011801,7640,87.4,,51,-0.6,77.5%,,16,65,20
tract,26163550900,2735,87.1,1.0,73,-0.7,81.9%,136.0,1,4,16
tract,26125197200,3672,86.8,,71,-0.6,78.3%,138.0,19,47,56
tract,26021021300,4638,86.7,,26,0.1,77.9%,,52,67,66
tract,26139022108,6031,86.7,,50,-0.6,82.8%,,10,12,17
tract,26161456000,6014,86.7,,47,-0.5,74.2%,,7,57,50
tract,26125157400,2627,86.6,,64,-0.5,79.7%,141.0,40,20,35
tract,26065004600,4213,86.6,,39,-0.5,81.2%,,3,21,27
tract,26081012202,6858,86.5,,54,-0.8,79.1%,,1,31,19
tract,26091060600,5596,86.4,,46,-0.2,79.4%,,13,12,17
tract,26005030200,3340,86.3,,34,-0.4,80.1%,,0,4,7
tract,26161446400,3117,86.3,,38,-0.4,75.4%,,2,30,2
tract,26077002904,9183,86.2,,56,-0.5,79.5%,,3,10,37
tract,26003000300,2967,86.2,,6,0.0,76.5%,,32,67,43
tract,26009960100,2659,86.2,,6,-0.2,81.6%,,33,37,5
tract,26021001600,2132,86.2,,26,-0.3,81.7%,,25,10,26
tract,26139021700,4990,86.2,,53,-0.5,78.4%,,5,23,25
tract,26109960200,4093,86.2,,29,-0.1,79.1%,,41,72,27
tract,26081011803,4893,86.1,,52,-0.5,77.3%,,9,84,31
tract,26163573600,6173,85.9,2.6,88,0.2,74.9%,131.0,93,81,19
tract,26111290900,8077,85.8,,80,-0.4,77.8%,,14,3,30
tract,26093712101,3122,85.8,,62,-0.4,78.1%,,3,12,2
tract,26097950100,1403,85.8,,0,-0.1,82.9%,,28,25,3
tract,26005032402,4074,85.7,,47,-0.3,77.9%,,12,53,7
tract,26099232400,5769,85.7,,75,-0.2,78.1%,134.0,60,62,50
tract,26081012400,4094,85.7,1.6,54,-0.6,77.5%,,2,26,11
tract,26005032600,1538,85.6,,43,0.0,81.5%,,20,9,23
tract,26125135200,3360,85.6,,64,-0.4,77.6%,140.5,13,50,31
tract,26161405400,2201,85.5,,58,-0.3,73.6%,,30,21,42
tract,26125190500,2525,85.4,,59,-0.6,77.7%,124.5,4,1,35
tract,26111290700,3738,85.4,,98,0.1,74.2%,,42,61,29
tract,26125157700,2373,85.3,,64,-0.7,80.9%,138.0,40,16,63
tract,26125196400,3995,85.3,,65,-0.8,80.7%,135.0,8,5,48
tract,26125151000,5127,85.3,,67,-0.7,80.8%,139.5,2,16,19
tract,26109960400,3314,85.3,,55,-0.2,80.9%,,11,31,6
tract,26089970600,5284,85.2,,11,-0.3,80.4%,,27,50,11
tract,26161402700,5319,85.2,,56,-0.6,73.4%,,1,50,50
tract,26061000900,5153,85.0,,5,-0.1,76.4%,,38,73,8
tract,26099225200,6991,85.0,,58,-0.6,77.6%,138.0,17,21,20
tract,26125193400,4497,85.0,,63,-0.7,78.6%,138.0,5,10,45
tract,26127010900,2399,85.0,,43,-0.1,80.6%,,33,50,12
tract,26099224100,9425,84.9,,53,-0.7,77.7%,139.0,4,6,23
tract,26077001200,2674,84.9,2.1,69,-0.3,78.4%,,9,13,28
tract,26081011702,4519,84.9,,50,-0.2,74.8%,,21,31,27
tract,26055550800,6291,84.8,,5,-0.4,81.1%,,15,14,6
tract,26125194200,1907,84.8,,64,-0.5,81.1%,153.0,6,27,52
tract,26093742700,3580,84.8,,52,-0.4,81.8%,,19,12,7
tract,26031960500,2411,84.7,,3,-0.2,81.4%,,38,21,12
tract,26041970400,5307,84.7,,57,-0.3,80.9%,,25,18,7
tract,26109960100,3503,84.7,,22,-0.1,79.5%,,50,85,4
tract,26121001600,2544,84.6,,87,-0.5,79.2%,,0,1,17
tract,26125157900,2832,84.6,,64,-0.7,80.5%,140.0,11,5,57
tract,26163551700,3206,84.6,1.4,75,-0.6,80.4%,129.0,7,2,9
tract,26161453000,5379,84.5,,48,-0.8,77.8%,,1,3,30
tract,26139022600,2069,84.5,,43,-0.4,81.0%,,5,5,27
tract,26161405200,5001,84.5,,56,-0.4,74.0%,,19,42,30
tract,26081014805,7360,84.5,,62,-0.5,78.2%,,5,19,46
tract,26111290300,3826,84.5,,79,-0.4,78.1%,,5,11,7
tract,26125190700,5239,84.4,,65,-0.9,78.4%,138.0,3,5,34
tract,26081000400,3071,84.4,2.3,59,-0.3,74.8%,,10,9,19
tract,26125167800,4351,84.4,,64,-0.4,77.8%,138.0,26,38,49
tract,26089970300,2656,84.4,,7,-0.3,82.4%,,19,30,14
tract,26125168800,2343,84.3,,65,-0.7,81.6%,141.0,9,10,50
tract,26163556700,2556,84.3,,70,-0.4,80.0%,129.0,23,9,18
tract,26099224500,4082,84.3,,58,-0.3,79.9%,140.0,17,12,1
tract,26077002004,3942,84.2,,56,-0.4,79.0%,,19,16,27
tract,26103001300,4016,84.2,,6,-0.1,78.9%,,44,63,10
tract,26099227000,7036,84.2,,58,-0.4,81.0%,140.0,20,21,15
tract,26125190800,3279,84.2,,66,-0.6,80.8%,132.0,7,5,27
tract,26125150500,2624,84.2,,68,-0.8,81.7%,135.0,4,12,22
tract,26081014601,8304,84.2,,54,-0.6,78.2%,,24,4,12
tract,26125166100,3222,84.1,,65,-0.5,82.4%,141.0,30,55,53
tract,26075005200,6785,84.1,,39,-0.5,77.6%,,18,18,41
tract,26099223800,16096,84.1,,47,-0.6,76.8%,141.0,17,3,15
tract,26125150300,4938,84.1,,65,-0.6,79.7%,134.0,10,12,37
tract,26125157300,3351,84.1,,63,-0.5,81.5%,140.0,28,38,57
tract,26049011209,6271,84.0,,34,-0.4,78.3%,,32,70,39
tract,26125152000,4004,84.0,,67,-0.7,82.1%,133.0,5,45,28
tract,26081011302,6426,84.0,,49,-0.4,78.7%,,35,37,16
tract,26139022105,6083,84.0,,57,-0.3,79.5%,,31,62,44
tract,26161402300,2624,84.0,,56,-0.7,76.6%,,1,56,46
tract,26139025500,4013,84.0,,53,-0.4,81.9%,,4,48,25
tract,26081012002,6279,83.9,,50,-0.5,77.2%,,19,45,7
tract,26139021604,7341,83.9,,51,-0.4,80.1%,,8,2,9
tract,26125196700,2800,83.8,,69,-0.6,79.8%,138.0,3,1,25
tract,26097950300,1681,83.8,,18,-0.1,82.5%,,52,66,26
tract,26125196800,4316,83.8,,68,-0.7,81.2%,136.0,4,38,70
tract,26125197701,5098,83.8,,70,-0.5,76.8%,128.5,22,58,66
tract,26163573300,4229,83.8,3.0,87,0.0,73.1%,131.0,89,60,15
tract,26125150400,2947,83.7,,66,-0.8,80.3%,136.0,6,6,50
tract,26099224300,4946,83.7,,56,-0.5,78.2%,139.0,22,6,13
tract,26145013000,4319,83.7,,35,-0.2,78.8%,,17,30,20
tract,26163557600,2787,83.7,,77,-0.5,80.4%,141.5,9,3,17
tract,26125193300,4545,83.6,,63,-0.3,78.5%,131.5,20,72,38
tract,26043950200,4447,83.6,,52,-0.4,81.1%,,8,35,1
tract,26125127100,5695,83.6,,51,-0.7,79.0%,138.0,8,4,29
tract,26125168500,2945,83.6,,67,-0.3,80.9%,141.0,27,33,65
tract,26089970100,2016,83.6,,6,-0.4,84.8%,,5,25,6
tract,26029001300,1637,83.5,,6,0.0,79.9%,,36,34,8
tract,26077001502,4555,83.5,,72,0.0,75.6%,,44,43,42
tract,26161403400,3064,83.5,,47,-0.6,73.8%,,0,21,27
tract,26041970200,2240,83.5,,12,-0.1,81.6%,,48,53,14
tract,26125157000,2406,83.5,,65,-0.6,80.2%,142.0,15,3,39
tract,26163594200,2476,83.5,,79,-0.5,78.3%,144.0,8,21,14
tract,26093742900,3883,83.5,,50,-0.7,81.0%,,5,2,2
tract,26163567400,2764,83.5,,74,-0.1,82.0%,140.0,29,31,19
tract,26125192200,6028,83.4,,65,-0.8,79.6%,140.0,6,0,36
tract,26121003900,1866,83.4,,57,-0.4,79.0%,,27,36,23
tract,26125135300,5388,83.4,,58,-0.8,78.6%,138.0,2,15,29
tract,26065005001,7208,83.4,,43,-0.6,78.1%,,1,23,70
tract,26125128900,7094,83.4,,73,-0.6,76.7%,140.0,10,25,36
tract,26125193000,3341,83.4,,64,-0.6,78.7%,132.5,21,41,36
tract,26125196200,4306,83.4,,67,-0.4,79.3%,134.0,25,32,39
tract,26125196500,5433,83.4,,66,-0.6,80.9%,134.0,14,8,60
tract,26081010600,12560,83.4,,30,-0.6,76.8%,,2,2,14
tract,26125158100,3163,83.4,,69,-0.6,81.0%,140.5,3,21,31
tract,26049013112,4517,83.3,,38,-0.5,78.4%,,18,9,9
tract,26131970300,1676,83.3,,1,0.0,83.1%,,18,33,9
tract,26103001200,5532,83.3,,4,-0.2,79.9%,,23,57,12
tract,26145012003,4501,83.3,,45,-0.2,82.1%,,48,42,16
